path	class	event_status	canonical_successor
docs/orchestration/AMENDMENT-20260831-oi177-per-arm-ceilings.md	LIVE	open	
docs/orchestration/AMENDMENT-20260918-spec-6.4-candidate-specific-null-exception.md	LIVE	open	
docs/orchestration/AUTHORIZATION-20260903-oi136-failopen-repair.md	LIVE	open	
docs/orchestration/AUTHORIZATION-20260918-d-resource-required-deliverable-path.md	LIVE	open	
docs/orchestration/BRIEF-20260822-oi137-finite-N-precision-bias-exposure.md	LIVE	open	
docs/orchestration/BRIEF-20260901-greif-fps-thesis-implications-for-gbdt5d.md	LIVE	open	
docs/orchestration/BRIEF-20260901-greif-fps-thesis-implications-for-pet.md	LIVE	open	
docs/orchestration/CATALOG-ARCHIVE-gate1-k0.md	LIVE	open	
docs/orchestration/CATALOG.md	LIVE	open	
docs/orchestration/CENSUS-20260902-permanence-language-in-leg-grade-cells.md	LIVE	open	
docs/orchestration/CHECKLIST-20260919-reverification-against-a-new-digest.md	LIVE	open	
docs/orchestration/CLAIM-CLM-001.md	ARCHIVAL	terminal	
docs/orchestration/CLAIM-CLM-002.md	ARCHIVAL	terminal	
docs/orchestration/CLAIM-CLM-003.md	ARCHIVAL	terminal	
docs/orchestration/CLAIM-CLM-004.md	ARCHIVAL	terminal	
docs/orchestration/CLAIM-CLM-005.md	ARCHIVAL	terminal	
docs/orchestration/CLAIM-CLM-006.md	ARCHIVAL	terminal	
docs/orchestration/CLAIM-CLM-007.md	ARCHIVAL	terminal	
docs/orchestration/CLAIM-CLM-008.md	ARCHIVAL	terminal	
docs/orchestration/CLAIM-CLM-009.md	ARCHIVAL	terminal	
docs/orchestration/CLAIM-CLM-010.md	ARCHIVAL	terminal	
docs/orchestration/CLAIM-CLM-011.md	ARCHIVAL	terminal	
docs/orchestration/CLAIM-CLM-012.md	ARCHIVAL	terminal	
docs/orchestration/CLAIMS.md	LIVE	open	
docs/orchestration/CLOSE-20260830-canonical-quiesce-window-k0-7ac0edec.md	LIVE	open	
docs/orchestration/CLOSE-20260830-canonical-requiesce-k0r2-window.md	LIVE	open	
docs/orchestration/CONFIRMATION-20260823-builder-response-to-gate1-round4.md	LIVE	open	
docs/orchestration/CONTRACT-20260918-rank6-significance-consumer.md	LIVE	open	
docs/orchestration/CONVENTION-document-retention.md	LIVE	open
docs/orchestration/CONVENTION-receipt-ingredients.md	LIVE	open
docs/orchestration/CONVENTION-verifying-a-check-is-deployed.md	LIVE	open
docs/orchestration/CORPUS-20260811-gates-that-cannot-fail-sweep.md	LIVE	open	
docs/orchestration/CORRECTION-20260920-lower-bound-inference-withdrawn.md	LIVE	open	
docs/orchestration/CRITERIA-20260811-quarantine-causes-1-2-3-4-6.md	LIVE	open	
docs/orchestration/DECISION-20260822-joseph-b1-lift-and-clause-c.md	LIVE	open	
docs/orchestration/DECISION-20260823-joseph-a2f-does-not-substitute-for-a3.md	LIVE	open	
docs/orchestration/DECISION-20260824-joseph-deployment-freeze-until-f1b.md	LIVE	open	
docs/orchestration/DECISION-20260824-joseph-f6b-scoped-out-of-gate2.md	LIVE	open	
docs/orchestration/DECISION-20260825-joseph-gate2-fail-and-four-rulings.md	LIVE	open	
docs/orchestration/DECISION-20260828-joseph-f17b-four-surface-repair.md	LIVE	open	""
docs/orchestration/DECISION-20260830-joseph-f17b-post-path-drift-is-a-filed-finding.md	LIVE	open	
docs/orchestration/DECISION-20260831-joseph-quarantine-graded-against-the-candidate.md	LIVE	open	
docs/orchestration/DECISION-20260901-joseph-authorizes-k0r2-redeploy.md	LIVE	open	
docs/orchestration/DECISION-20260901-joseph-delegated-ceiling-unit-is-task-hours.md	LIVE	open
docs/orchestration/DECISION-20260901-joseph-oi172-oi173-magnitude-legs.md	LIVE	open
docs/orchestration/DECISION-20260901-joseph-oi187-upgrade-not-blocker.md	LIVE	open
docs/orchestration/DECISION-20260901-joseph-ratifies-oi177-per-arm-ceilings.md	LIVE	terminal	
docs/orchestration/DECISION-20260901-joseph-ratifies-oi185-invariants.md	LIVE	terminal	
docs/orchestration/DECISION-20260902-joseph-applies-oi173-cause4-m.md	LIVE	open	
docs/orchestration/DECISION-20260902-joseph-rules-cause7-cause3-and-the-stop.md	LIVE	open	""
docs/orchestration/DECISION-20260902-joseph-rules-no-fourth-grade-token.md	LIVE	open	
docs/orchestration/DECISION-20260902-joseph-rules-oi173-referent-is-the-candidate.md	LIVE	open	
docs/orchestration/DECISION-20260902-two-lane-consensus-cause4-M-and-its-supersession.md	LIVE	open	
docs/orchestration/DECISION-20260906-joseph-authorizes-z-specification-only.md	LIVE	open	
docs/orchestration/DECISION-20260907-joseph-ratifies-r5-attempt-accounting-and-declines-untracking.md	LIVE	terminal	
docs/orchestration/DECISION-20260919-joseph-R6-reverses-the-k1-decline.md	LIVE	open	
docs/orchestration/DECISION-20260919-joseph-rules-pm1-cause7-and-completion.md	LIVE	open	
docs/orchestration/DECISION-20260920-joseph-adopts-z-cv-under-the-6.4-exception.md	LIVE	open	
docs/orchestration/DECISION-20260920-joseph-authorizes-typed-descriptor-audit-on-main.md	LIVE	open	
docs/orchestration/DECISION-20260920-joseph-rules-clause-c-disposition.md	LIVE	open	
docs/orchestration/DECISION-PACKET-20260918-scalar5d-publication-blockers.md	LIVE	open	
docs/orchestration/DECLARATION-20260822-k0-submission-sha.md	LIVE	open	
docs/orchestration/DECLARATION-20260823-k0-candidate-aa67c426.md	LIVE	open	
docs/orchestration/DECLARATION-20260823-k0-candidate-sha.md	LIVE	open	
docs/orchestration/DECLARATION-20260830-k0-deployment-7ac0edec.md	LIVE	open	
docs/orchestration/DEFECT-20260825-generate-manifest-dirty-warning-nondiscriminating.md	LIVE	open	
docs/orchestration/DERIVATION-20260919-null-epsilon-B-and-S.md	LIVE	open	
docs/orchestration/DETERMINATION-20260811-cause5-binding-half.md	LIVE	open	
docs/orchestration/DISCIPLINE-20260825-f14-coupling-comparator-repair-lane.md	LIVE	open	
docs/orchestration/DISCIPLINE-20260825-f14-manifest-coupling-omissions.md	LIVE	open	
docs/orchestration/DISCLOSURE-20260920-clause-c-verification-blocked-and-was-not-recorded.md	LIVE	open	
docs/orchestration/DRAFT-ADOPTION-20260919-z-cv-under-the-6.4-exception.md	LIVE	open	
docs/orchestration/DRAFT-SPEC-20260921-what-the-pipeline-refuses.md	LIVE	open	
docs/orchestration/EVIDENCE-20260919-cause3-member-eligibility-census.md	LIVE	open	
docs/orchestration/EVIDENCE-20260919-cause7-migration-census-and-declared-policy.md	LIVE	open	
docs/orchestration/EVIDENCE-20260919-lateral-bands-are-seed-pinned.md	LIVE	open	
docs/orchestration/EVIDENCE-20260920-sproj-resolution-floor-and-seed-effect.md	LIVE	open	
docs/orchestration/FINDING-20260822-a-hold-that-instructed-its-own-deletion.md	LIVE	open	
docs/orchestration/FINDING-20260822-clause-c-adopt-is-unreachable-under-its-own-pause.md	LIVE	open	
docs/orchestration/FINDING-20260824-gate2-preparation-and-four-open-rulings.md	LIVE	open	
docs/orchestration/FINDING-20260830-k0-member-namespace-blocks-submission.md	LIVE	open	
docs/orchestration/FINDING-20260830-k0r2-env-pathcheck-submitter-declaration-omitted.md	LIVE	open	
docs/orchestration/FINDING-20260830-quarantine-nocompute-legs-measured.md	LIVE	open	
docs/orchestration/FINDING-20260831-ben039-detector-is-triple-bound.md	LIVE	open	
