key	state	operating_rule	observable_check	evidence	retirement_reason
PB-01	active	Treat generated current state as a view, not truth.	Run the freshness checker and re-measure every decision-bearing field from its source before acting.	BEN-191, BEN-199, BEN-323	-
PB-02	active	Read the artifact that governs the decision, not merely a related artifact.	Name the governing path and field in the report; fail closed if either is unavailable; re-read any predicate an error message or refusal cites before shipping it; and when a record has a human-readable half and a half the code dereferences, verify the half the code dereferences.	BEN-205, BEN-383, BEN-476, BEN-478	-
PB-03	active	Derive identifiers, counts, and free ranges in the same turn.	Include the command and denominator; never copy a narrated free-list or remembered count.	BEN-027, BEN-080, BEN-228	-
PB-04	active	A hash proves agreement with the named target, not that the target is the right one.	Verify run, arm, configuration, and event identity independently of the digest; resolve which tree and which callee actually execute, and compare at callee granularity rather than whole-file.	BEN-312, BEN-483, BEN-484	-
PB-05	active	Corroboration requires independent origins.	Trace each agreeing statement to its first measurement; count shared origins once.	BEN-300, BEN-304, BEN-312	-
PB-06	active	Relay hypotheses and limits as attributed claims until independently checked.	Preserve the source, qualifier, and evidence pointer in every dispatch and summary.	BEN-305, BEN-392	-
PB-07	active	Run a command before embedding it in an authorization or procedure.	Execute a dry-run or authorize the outcome and let the executor choose the environment-specific command.	BEN-410	-
PB-08	active	A successful send is not acceptance of a task.	Require an acknowledgement from the addressed peer before reporting the task as held.	BEN-300	-
PB-09	active	Resume guards validate completeness, not existence or size.	Parse required content or write to a temporary path and rename only after validation; for every completeness test ask whether a PREVIOUS attempt could satisfy it, and bind artifacts to the run that wrote them by content, not by filename.	BEN-023, BEN-477	-
PB-10	active	Preserve the complete diagnostic stream.	Redirect the producer's full output, then filter only a subsequent read; capture the producer's exit status and never pipe a command whose status will be read.	BEN-026, BEN-035, BEN-478	-
PB-11	active	Judge liveness from resource use and products, not quietness — and ask it of the MONITOR as well as the job.	Query scheduler CPU/state and count validated artifacts. For any monitor, watch, or scheduled control, additionally confirm its evaluator is RUNNABLE in the scheduler (not merely scheduled) and that its own heartbeat artifact is younger than its declared interval; a stored status field is not a liveness claim. A cluster-wide liveness question is answered by `squeue`/`sacct` and NEVER by a process list: ssh ControlMaster multiplexing pins repeated connections to ONE login node, so `pgrep` answers about that node and its repetition reads as corroboration. Scope the query so the wrong-subject branch is unreachable rather than merely unchecked -- `--me`, not `-u <name>`, because `squeue -u <nonexistent>` exits 0 with 0 rows.	BEN-028, BEN-456, BEN-478, BEN-532	-
PB-12	active	Check that a criterion measures the quantity it names.	Publish achieved value, required value, units, population, and reduction side by side; a threshold must read the quantity that binds, not a broader one that resembles it. Name the NOISE STATISTIC the threshold is calibrated against, with that statistic's unit and the population it was measured over, and state which sources it does NOT cover -- "not calibrated against X" is not "conservative with respect to X". Before a test that DISCRIMINATES between two hypotheses runs, publish the separation between its endpoints, the scale of the residual it must resolve, and its size or power under its own stated null; if the separation cannot resolve the residual, report NO POWER with the achieved leverage rather than a direction dressed as a discrimination. A leverage figure whose denominator is an interpolation span is not a significance. A power or leverage gate states the DIRECTION it is valid in: a small separation-to-spread ratio is evidence FOR consistency with noise and forbids only the opposite conclusion, so a symmetric-looking gate blocks the correct read half the time.	BEN-077, BEN-119, BEN-478, BEN-530, BEN-531, BEN-535	-
PB-13	active	An identity recomputation cannot validate its own premise.	Add an independent input or artifact readback for every premise the identity assumes.	BEN-328	-
PB-14	active	A code-text search is not a call-graph result.	Exercise the path or use a semantic/call trace before asserting that one component invokes another.	BEN-335	-
PB-15	active	Coverage reports need a cell for what the instrument cannot resolve.	Print resolved, unresolved, excluded, and total populations; zero unresolved must be distinguishable from unmeasured.	BEN-193, BEN-322	-
PB-16	active	A guard needs mutation tests in both directions.	Demonstrate one defect mutation fires and one innocent mutation stays green; every fixture is built from the producer, never from the rule under test. A narrowing needs a control it does NOT fire on, and that control must EITHER name the mechanism now covering the excluded case and assert that mechanism fires, OR declare that the excluded case needs no coverage and why -- a does-not-fire control alone cannot distinguish "correctly scoped" from "nothing covers this any more", and those two have identical test output.	BEN-331, BEN-387, BEN-476, BEN-482	-
PB-17	active	A check belongs in the hook only if an innocent committer can make it pass.	Test the check on a clean worktree plus defect and innocent controls before wiring it.	BEN-387	-
PB-18	active	Concurrent lanes use isolated worktrees and per-commit identities.	Check git worktree list, staged paths, and author identity before commit; never use shared stash state. A hold is a property of the BRANCH, not of anyone's restraint: work that must wait on a decision gets its own branch or no commit, and a commit on shared `main` is never described as held nor that description relayed onward. Never cancel, resubmit, or kill a job you did not submit without that lane's own word, however dead it looks -- waiting costs a delay, acting costs a double-spent allocation, and `squeue --me` returns the whole shared account so "my queue" is not "my jobs".	BEN-074, BEN-214, BEN-398, BEN-533, BEN-534	-
PB-19	active	A receipt carries ingredients, not only verdicts.	Recompute every derived headline from fields in the receipt and require contradictions to be representable.	BEN-077	-
PB-20	active	A new BEN must change future behavior.	Search the casebook first; amend or cross-reference an existing mechanism unless the new row changes a check, rule, or scope.	BEN-228, BEN-300	-
PB-21	active	Do not let a small-sample spread estimate overturn a decision.	Report the interval and realized exceedance; prefer the realized population to a fitted Gaussian tail when the sample is small.	BEN-025	-
PB-22	active	Document-local item ids carry the document's short prefix.	Reject bare letter-number ids in shared documents; use a scoped form such as PB1 or CLM-010 B1.	BEN-080, BEN-082	-
PB-23	active	A control's silence is not evidence; ask the three detection questions.	For each green control name what proves the PRIMARY path ran, what the path DISCARDS, and what lies OUTSIDE its trigger; a control that can answer none of the three is unmeasured, not passing.	BEN-456, BEN-454, BEN-455	-
